id,city,lat,long,price_cleaned,bedrooms_num,bathrooms_num,luxury_ratio,premium_amenities,has_parking,has_view,has_balcony,neighbor_count,avg_area_rating,avg_location_rating,area_demand_volume,predicted_roi
1662,Torquay,50.46643,-3.521644,1200000,4,3.0,0.75,0,0,0,0,66,4.470757575757577,4.459090926430442,2537,0.3708726185784829
10051,Isle of Wight,50.728218,-1.2149361,750000,5,3.0,0.6,0,0,0,0,10,3.944,3.8799999713897706,227,0.370860514400088
9868,Isle of Wight,50.731365,-1.214055,799000,5,3.0,0.6,0,0,0,0,10,3.944,3.8799999713897706,227,0.370860514400088
15045,Isle of Anglesey,53.256817,-4.315795,180000,5,3.0,0.6,0,1,0,0,3,4.963333333333334,4.9666666984558105,32,0.3708310536593832
6554,Norfolk,52.59851,0.3717077,225000,2,1.0,0.5,0,1,0,0,5,4.878,4.880000019073487,274,0.3707643174967112
6557,Norfolk,52.60379,0.3927712,285000,2,1.0,0.5,0,1,0,0,5,4.878,4.880000019073487,274,0.3707643174967112
1744,Peterborough,52.621742,-0.1000908,260000,3,1.0,0.3333333333333333,0,0,0,0,0,0.0,0.0,0,0.3707104701656963
1701,Peterborough,52.621742,-0.1000908,280000,3,1.0,0.3333333333333333,0,0,0,0,0,0.0,0.0,0,0.3707104701656963
12138,Somerset,51.335114,-2.975148,190000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
2317,North Somerset,51.337555,-2.9784853,180000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
2215,North Somerset,51.335114,-2.975148,190000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
12224,Somerset,51.33281,-2.969771,260000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
2358,North Somerset,51.337746,-2.9686577,150000,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
2397,North Somerset,51.337555,-2.9784853,210000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
2550,North Somerset,51.33907,-2.9764864,159950,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
2231,North Somerset,51.33281,-2.969771,260000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
2632,North Somerset,51.345123,-2.9790347,90000,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
2516,North Somerset,51.332626,-2.9536207,245000,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
2389,North Somerset,51.338436,-2.9767537,175000,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
2519,North Somerset,51.33616,-2.9766166,183000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
2696,North Somerset,51.336975,-2.9686756,160000,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
2457,North Somerset,51.338436,-2.9767537,116500,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
2618,North Somerset,51.338436,-2.9767537,250000,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
2385,North Somerset,51.34451,-2.9805913,225000,2,1.0,0.5,0,0,0,0,32,4.6196874999999995,4.631250023841858,2044,0.3706961694919932
12391,Somerset,51.337555,-2.9784853,180000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
2399,North Somerset,51.333237,-2.966956,220000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
2446,North Somerset,51.32967,-2.9638126,200000,2,1.0,0.5,0,0,0,0,33,4.624848484848484,4.639393965403239,2073,0.3706961694919932
848,Hayle,50.19512,-5.403261,327500,4,2.0,0.5,0,1,0,1,99,4.510909090909092,4.597979810502794,2640,0.3706930861362529
4901,Ards and North Down,54.64393,-5.543102,350000,4,2.0,0.5,0,0,0,1,5,4.862,4.820000076293946,249,0.3706792003074823
10373,Isle of Wight,50.726208,-1.1846458,335000,4,2.0,0.5,0,0,0,0,27,4.481111111111111,4.425925961247197,1369,0.3706224194510808
14711,Cambridgeshire,52.54771,0.2008721,290000,3,2.0,0.6666666666666666,0,0,0,0,3,3.3166666666666664,3.300000031789144,203,0.37060776791791716
8115,Hampshire,51.27763,-0.8075298,295000,1,1.0,1.0,0,0,0,1,34,4.061764705882352,4.050000022439396,856,0.37059239076782746
12416,Somerset,51.355297,-2.9792008,185000,2,1.0,0.5,0,0,0,0,31,4.6090322580645156,4.616129059945384,2173,0.37055391846972463
2331,North Somerset,51.355297,-2.9792008,185000,2,1.0,0.5,0,0,0,0,31,4.6090322580645156,4.616129059945384,2173,0.37055391846972463
15862,Aberdeen,57.12635,-2.1620994,550000,5,3.0,0.6,0,0,0,0,14,4.235714285714286,4.300000020435879,871,0.3705380862206579
9768,Isle of Wight,50.59471,-1.2062609,138500,3,2.0,0.6666666666666666,0,0,0,0,79,4.559493670886075,4.559493722794931,3619,0.37052523882884
9799,Isle of Wight,50.722183,-1.1845231,230000,3,1.0,0.3333333333333333,0,0,0,1,46,4.439782608695652,4.454347848892212,2868,0.3705116463716886
20413,Chichester,50.855183,-0.7981734,325000,2,2.0,1.0,0,0,0,0,69,4.655507246376812,4.673913091853045,4945,0.3704433705188625
12355,Somerset,51.22943,-2.3364184,950000,7,4.0,0.5714285714285714,0,0,0,0,0,0.0,0.0,0,0.3704297650211256
14951,Isle of Anglesey,53.41089,-4.3353715,320000,3,2.0,0.6666666666666666,0,0,0,0,17,4.595294117647058,4.547058862798354,1027,0.3704278335781203
14996,Isle of Anglesey,53.408054,-4.3391857,285000,3,2.0,0.6666666666666666,0,0,0,0,17,4.595294117647058,4.547058862798354,1027,0.3704278335781203
12547,Northumberland,55.037804,-1.8770834,595000,4,3.0,0.75,0,0,0,0,1,4.96,5.0,101,0.3703827333829411
12626,Northumberland,55.02823,-1.774894,750000,4,3.0,0.75,0,0,0,0,1,4.96,5.0,101,0.3703827333829411
15110,Shropshire,52.889572,-3.0485237,389000,5,2.0,0.4,0,0,1,0,1,4.96,5.0,23,0.3703156796885026
7983,Hampshire,50.861202,-1.0383067,485000,4,1.0,0.25,0,0,1,0,2,4.955,4.8500001430511475,230,0.3703148508541926
11686,Pembrokeshire,52.08109,-4.668733,385000,3,1.0,0.3333333333333333,0,0,0,0,34,4.748823529411764,4.782352994470036,2102,0.370237818773049
1698,Peterborough,52.576454,-0.2408823,849000,7,4.0,0.5714285714285714,0,0,0,0,1,4.79,4.599999904632568,14,0.3702305954253481
1763,Peterborough,52.57571,-0.2571598,500000,7,4.0,0.5714285714285714,0,0,0,0,1,4.79,4.599999904632568,14,0.3702305954253481
10461,Oxfordshire,51.716396,-0.8975371,895000,5,3.0,0.6,0,0,0,0,3,3.3200000000000003,3.300000031789144,172,0.3702136201100975
19929,Bude,50.828537,-4.5404887,435000,4,3.0,0.75,0,0,0,0,45,4.001111111111111,4.028888914320204,1454,0.37020741787045647
19969,Bude,50.82201,-4.5386305,390000,4,3.0,0.75,0,0,0,0,45,4.008222222222222,4.0377778053283695,1391,0.37020741787045647
565,Edinburgh,55.902744,-3.2893834,195000,2,2.0,1.0,0,0,0,1,50,4.798199999999999,4.652000031471252,4035,0.37017269335102637
